X,Y,Z,S,I_Raw,I_Pro,I_DoG,N,Gain,X_in_px,Y_in_px,Z_in_px,X_um,Y_um,Z_um,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_abs_in_px,Y_abs_in_px,Z_abs_in_px,X_abs_um,Y_abs_um,Z_abs_um,S_um,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,ID
3.0,59.0,64.0,2.0,31766.0,13346.972043427464,8761.212354370482,2.0,-0.20742362224524147,13,262,64,6.0,118.0,128.0,71.0,59.0,64.0,315,262,64,142.0,118.0,128.0,4.0,302,0,0,68,0,0,320
47.0,60.0,6.0,2.0,47533.0,29113.972043427464,8503.298595176006,1.0,-0.5479045422051552,209,267,6,94.0,120.0,12.0,115.0,60.0,6.0,511,267,6,230.0,120.0,12.0,4.0,302,0,0,68,0,0,321
39.0,51.0,21.0,2.0,41632.0,23212.972043427464,8496.635913286502,1.0,-0.46409706957682617,173,227,21,78.0,102.0,42.0,107.0,51.0,21.0,475,227,21,214.0,102.0,42.0,4.0,302,0,0,68,0,0,322
19.0,58.0,6.0,2.0,39470.0,21050.972043427464,8151.12552050341,1.0,-0.44174383345864054,84,258,6,38.0,116.0,12.0,87.0,58.0,6.0,386,258,6,174.0,116.0,12.0,4.0,302,0,0,68,0,0,323
44.0,45.0,8.0,2.0,33351.0,14931.972043427464,8070.528018197546,1.0,-0.29829122951191034,196,200,8,88.0,90.0,16.0,112.0,45.0,8.0,498,200,8,224.0,90.0,16.0,4.0,302,0,0,68,0,0,324
51.0,63.0,10.0,2.0,41606.0,23186.972043427464,7985.883388928365,1.0,-0.48763863443581584,227,280,10,102.0,126.0,20.0,119.0,63.0,10.0,529,280,10,238.0,126.0,20.0,4.0,302,0,0,68,0,0,325
18.0,33.0,6.0,2.0,42506.0,24086.972043427464,7931.180142087132,1.0,-0.5045822696991681,80,147,6,36.0,66.0,12.0,86.0,33.0,6.0,382,147,6,172.0,66.0,12.0,4.0,302,0,0,68,0,0,326
16.0,59.0,7.0,2.0,36432.0,18012.972043427464,7643.388120327409,1.0,-0.40417205936130113,71,262,7,32.0,118.0,14.0,84.0,59.0,7.0,373,262,7,168.0,118.0,14.0,4.0,302,0,0,68,0,0,327
43.0,61.0,13.0,2.0,35928.0,17508.972043427464,7411.819267948811,1.0,-0.4051698298548541,191,271,13,86.0,122.0,26.0,111.0,61.0,13.0,493,271,13,222.0,122.0,26.0,4.0,302,0,0,68,0,0,328
34.0,27.0,6.0,2.0,36146.0,17726.972043427464,7265.333778818381,1.0,-0.4185943601609219,151,120,6,68.0,54.0,12.0,102.0,27.0,6.0,453,120,6,204.0,54.0,12.0,4.0,302,0,0,68,0,0,329
