,X,Y,Z,S,I_Raw,I_Pro,I_DoG,X_abs_out_px,Y_abs_out_px,Z_abs_out_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px
47,18.0,55.0,27.0,2.0,40834.0,19660.162813101706,9178.028150464976,18.0,55.0,27.0,0,0,0
48,19.0,37.0,26.0,2.0,39031.0,17857.162813101706,9018.324766326079,19.0,37.0,26.0,0,0,0
49,49.0,47.0,6.0,2.0,42173.0,20999.162813101706,8933.802290981826,49.0,47.0,6.0,0,0,0
50,24.0,14.0,40.0,2.0,36093.0,14919.162813101706,8799.26018360153,24.0,14.0,40.0,0,0,0
51,16.0,40.0,20.0,2.0,39840.0,18666.162813101706,8798.248818322187,16.0,40.0,20.0,0,0,0
52,11.0,11.0,47.0,2.0,39055.0,17881.162813101706,8770.582554721334,11.0,11.0,47.0,0,0,0
53,5.0,40.0,45.0,2.0,36875.0,15701.162813101706,8762.984660002021,5.0,40.0,45.0,0,0,0
54,64.0,11.0,24.0,2.0,32277.0,11103.162813101706,8724.698289968233,64.0,11.0,24.0,0,0,0
55,15.0,45.0,20.0,2.0,38486.0,17312.162813101706,8721.676278664037,15.0,45.0,20.0,0,0,0
56,41.0,36.0,9.0,2.0,37370.0,16196.162813101706,8678.552096516087,41.0,36.0,9.0,0,0,0
57,19.0,44.0,12.0,2.0,36013.0,14839.162813101706,8664.972613742842,19.0,44.0,12.0,0,0,0
58,46.0,35.0,19.0,2.0,39822.0,18648.162813101706,8663.79711206729,46.0,35.0,19.0,0,0,0
59,13.0,16.0,48.0,2.0,40497.0,19323.162813101706,8620.592259685624,13.0,16.0,48.0,0,0,0
60,8.0,42.0,26.0,2.0,36017.0,14843.162813101706,8600.952558903848,8.0,42.0,26.0,0,0,0
61,20.0,52.0,20.0,2.0,34791.0,13617.162813101706,8580.474719561858,20.0,52.0,20.0,0,0,0
62,48.0,51.0,4.0,2.0,41532.0,20358.162813101706,8532.75143872649,48.0,51.0,4.0,0,0,0
63,26.0,55.0,58.0,2.0,39394.0,18220.162813101706,8481.52880937849,26.0,55.0,58.0,0,0,0
64,53.0,50.0,9.0,2.0,39757.0,18583.162813101706,8398.094639366866,53.0,50.0,9.0,0,0,0
65,15.0,46.0,57.0,2.0,42108.0,20934.162813101706,8292.816268130904,15.0,46.0,57.0,0,0,0
66,50.0,46.0,11.0,2.0,38670.0,17496.162813101706,8279.809208379671,50.0,46.0,11.0,0,0,0
67,26.0,12.0,14.0,2.0,41423.0,20249.162813101706,8192.582931354593,26.0,12.0,14.0,0,0,0
68,13.0,6.0,27.0,2.0,35262.0,14088.162813101706,8190.977398941072,13.0,6.0,27.0,0,0,0
69,48.0,15.0,31.0,2.0,32124.0,10950.162813101706,8111.455085921101,48.0,15.0,31.0,0,0,0
70,13.0,40.0,24.0,2.0,39910.0,18736.162813101706,8069.6015958837625,13.0,40.0,24.0,0,0,0
71,61.0,10.0,8.0,2.0,38348.0,17174.162813101706,8067.555739479919,61.0,10.0,8.0,0,0,0
72,37.0,10.0,30.0,2.0,33777.0,12603.162813101706,8049.7464258520695,37.0,10.0,30.0,0,0,0
73,29.0,58.0,32.0,2.0,40212.0,19038.162813101706,8042.899624518219,29.0,58.0,32.0,0,0,0
74,19.0,50.0,36.0,2.0,33824.0,12650.162813101706,8036.966224128911,19.0,50.0,36.0,0,0,0
75,10.0,9.0,9.0,2.0,36580.0,15406.162813101706,7919.5079467964915,10.0,9.0,9.0,0,0,0
76,19.0,46.0,57.0,2.0,40864.0,19690.162813101706,7772.174300492494,19.0,46.0,57.0,0,0,0
77,62.0,5.0,4.0,2.0,35976.0,14802.162813101706,7618.204259783406,62.0,5.0,4.0,0,0,0
78,22.0,55.0,34.0,2.0,36887.0,15713.162813101706,7493.016795124332,22.0,55.0,34.0,0,0,0
