,X_ref_in_px,Y_ref_in_px,Z_ref_in_px,X_ScannerSize_In_px,Y_ScannerSize_In_px,Z_ScannerSize_In_px,X_ref_out_px,Y_ref_out_px,Z_ref_out_px,X_ScannerSize_Out_px,Y_ScannerSize_Out_px,Z_ScannerSize_Out_px
0,0,0,0,301,301,68,0,0,0,68,68,68
1,0,302,0,301,267,68,0,68,0,68,60,68
2,302,0,0,246,301,68,68,0,0,55,68,68
3,302,302,0,246,267,68,68,68,0,55,60,68
4,0,0,70,301,301,24,0,0,70,68,68,24
5,0,302,70,301,267,24,0,68,70,68,60,24
6,302,0,70,246,301,24,68,0,70,55,68,24
7,302,302,70,246,267,24,68,68,70,55,60,24
